"STATION","NAME","DATE","AWND","TMAX","TMIN","WDF2","WSF2"
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-07",,"67","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-08",,"66","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-09",,"62","49",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-10",,"55","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-11",,"62","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-12",,"67","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-13",,"56","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-14",,"50","41",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-15",,"48","37",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-16",,"48","38",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-17",,"47","37",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-18",,"50","35",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-19",,"56","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-20",,"52","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-21",,"60","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-22",,"57","38",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-23",,"53","37",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-24",,"50","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-25",,"54","35",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-26",,"57","42",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-27",,"65","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-28",,"72","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-29",,"75","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-30",,"74","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-03-31",,"75","58",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-01",,"72","55",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-02",,"70","49",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-03",,"70","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-04",,"68","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-05",,"63","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-06",,"57","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-07",,"64","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-08",,"63","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-09",,"70","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-10",,"68","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-11",,"65","42",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-12",,"56","41",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-13",,"63","44",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-14",,"69","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-15",,"67","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-16",,"50","39",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-17",,"55","36",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-18",,"56","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-19",,"61","40",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-20",,"74","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-21",,"74","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-22",,"77","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-23",,"79","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-24",,"79","57",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-25",,"80","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-26",,"78","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-27",,"64","44",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-28",,"62","45",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-29",,"60","45",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-04-30",,"61","44",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-01",,"68","42",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-02",,"72","43",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-03",,"73","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-04",,"79","57",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-05",,"79","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-06",,"75","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-07",,"81","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-08",,"83","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-09",,"77","58",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-10",,"79","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-11",,"73","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-12",,"75","52",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-13",,"74","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-14",,"75","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-15",,"73","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-16",,"63","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-17",,"74","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-18",,"78","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-19",,"79","51",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-20",,"74","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-21",,"75","45",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-22",,"75","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-23",,"74","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-24",,"68","49",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-25",,"61","49",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-26",,"68","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-27",,"81","52",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-28",,"90","65",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-29",,"91","70",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-30",,"79","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-05-31",,"69","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-01",,"80","46",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-02",,"90","63",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-03",,"96","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-04",,"92","68",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-05",,"82","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-06",,"78","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-07",,"80","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-08",,"85","60",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-09",,"75","56",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-10",,"80","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-11",,"84","60",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-12",,"93","67",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-13",,"94","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-14",,"89","64",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-15",,"78","53",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-16",,"75","47",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-17",,"74","48",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-18",,"82","50",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-19",,"88","64",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-20",,"88","64",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-21",,"90","63",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-22",,"96","71",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-23",,"98","75",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-24",,"94","62",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-25",,"88","58",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-26",,"90","64",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-27",,"88","61",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-28",,"84","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-29",,"92","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-06-30",,"96","73",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-01",,"96","64",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-02",,"91","62",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-03",,"81","59",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-04",,"84","54",,
"USR0000CDIA","DIABLO GRANDE CALIFORNIA, CA US","2018-07-05",,"85","61",,
